GUID,GEOGID,GEOGDESC,Reference Geography,ED_GUID,ED_ID_STR,ED_ENGLISH,ED_GAEILGE,ED_OFFICIAL,LEA_GUID,CSO_LEA,LEA_ID,LEA_OFFICIAL,LA_GUID,LOCAL_AUTHORITY,LA_CODE,COUNTY,CONTAE,PROVINCE,NUTS3,NUTS3_NAME,NUTS2,NUTS2_NAME,NUTS1,NUTS1_NAME,Total - Females (Normalisation) ,Total - Males (Normalisation),Total Population (Normalisation),Occupied (Normalisation),Temporarily absent (Normalisation),Unoccupied holiday homes (Normalisation),Other vacant dwellings (Normalisation),Total dwellings (Normalisation),AREA,Area unit of measure,Shape__Area,Shape__Length,GUID,Professional workers - Males,Managerial and technical - Males,Non-manual - Males,Skilled manual - Males,Semi-skilled - Males,Unskilled - Males,All others gainfully occupied and unknown - Males,Total - Males,Professional workers - Females,Managerial and technical - Females,Non-manual - Females,Skilled manual - Females,Semi-skilled - Females,Unskilled - Females,All others gainfully occupied and unknown - Females,Total - Females,Professional workers - Total,Managerial and technical - Total,Non-manual - Total,Skilled manual - Total,Semi-skilled - Total,Unskilled - Total,All others gainfully occupied and unknown - Total,Total,ObjectId
2ae19629-16dc-13a3-e055-000000000001,2ae19629-16dc-13a3-e055-000000000001,JAMESTOWN,CSO ED-2022,2ae19629-16dc-13a3-e055-000000000001,107054,JAMESTOWN,BAILE THAIDHG DHUIBH,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,263,269,532,174,2,1,9,186,14167000,Sq Metres,14167182.60849,19492.9547745667,2ae19629-16dc-13a3-e055-000000000001,44,89,46,46,19,4,21,269,27,105,70,15,15,1,30,263,71,194,116,61,34,5,51,532,21
2ae19629-16e4-13a3-e055-000000000001,2ae19629-16e4-13a3-e055-000000000001,REARYMORE,CSO ED-2022,2ae19629-16e4-13a3-e055-000000000001,107085,REARYMORE,RAOIRE MÓR,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,148,159,307,102,0,0,7,109,16780000,Sq Metres,16779768.0140381,20618.1106003275,2ae19629-16e4-13a3-e055-000000000001,7,50,26,42,20,5,9,159,5,47,43,17,11,3,22,148,12,97,69,59,31,8,31,307,22
2ae19629-16e6-13a3-e055-000000000001,2ae19629-16e6-13a3-e055-000000000001,ROSSMORE,CSO ED-2022,2ae19629-16e6-13a3-e055-000000000001,107087,ROSSMORE,AN ROS MÓR,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,224,240,464,145,1,1,7,154,12514000,Sq Metres,12514087.2844849,20435.0711542142,2ae19629-16e6-13a3-e055-000000000001,46,78,23,47,19,5,22,240,35,90,35,18,24,4,18,224,81,168,58,65,43,9,40,464,23
2ae19629-16e7-13a3-e055-000000000001,2ae19629-16e7-13a3-e055-000000000001,SALLYFORD,CSO ED-2022,2ae19629-16e7-13a3-e055-000000000001,107088,SALLYFORD,ÁTH NA SAILÍ,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,314,290,604,198,2,1,10,211,19694000,Sq Metres,19694221.6515503,21769.8372799039,2ae19629-16e7-13a3-e055-000000000001,27,90,56,52,40,7,18,290,31,130,64,21,35,3,30,314,58,220,120,73,75,10,48,604,24
2ae19629-16eb-13a3-e055-000000000001,2ae19629-16eb-13a3-e055-000000000001,MONEENALASSA,CSO ED-2022,2ae19629-16eb-13a3-e055-000000000001,107069,MONEENALASSA,MÓINÍN AN LEASA,N,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,66,83,149,52,0,0,11,63,11921000,Sq Metres,11920926.2384338,21152.9330753571,2ae19629-16eb-13a3-e055-000000000001,12,22,13,15,12,2,7,83,6,19,13,8,11,0,9,66,18,41,26,23,23,2,16,149,25
2ae19629-16ec-13a3-e055-000000000001,2ae19629-16ec-13a3-e055-000000000001,MONEYMORE,CSO ED-2022,2ae19629-16ec-13a3-e055-000000000001,107070,MONEYMORE,AN MUINE MÓR,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,71,70,141,48,1,0,3,52,10041000,Sq Metres,10041439.003418,17494.0314069968,2ae19629-16ec-13a3-e055-000000000001,6,14,15,21,10,2,2,70,4,31,12,8,7,2,7,71,10,45,27,29,17,4,9,141,26
2ae19629-16ee-13a3-e055-000000000001,2ae19629-16ee-13a3-e055-000000000001,MOUNTMELLICK URBAN,CSO ED-2022,2ae19629-16ee-13a3-e055-000000000001,107072,MOUNTMELLICK URBAN,MÓINTEACH MÍLIC (UIRBEACH),Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,1676,1496,3172,1216,15,4,159,1394,2272000,Sq Metres,2271631.55386353,8382.05585502695,2ae19629-16ee-13a3-e055-000000000001,62,318,212,357,200,75,272,1496,53,476,329,204,225,62,327,1676,115,794,541,561,425,137,599,3172,27
2ae19629-16f2-13a3-e055-000000000001,2ae19629-16f2-13a3-e055-000000000001,NEWTOWN,CSO ED-2022,2ae19629-16f2-13a3-e055-000000000001,107076,NEWTOWN,CLUAIN BROC,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,162,168,330,117,2,0,6,125,11243000,Sq Metres,11242625.2262878,17932.9780662017,2ae19629-16f2-13a3-e055-000000000001,8,51,20,49,16,5,19,168,7,60,36,26,12,1,20,162,15,111,56,75,28,6,39,330,28
2ae19629-16f3-13a3-e055-000000000001,2ae19629-16f3-13a3-e055-000000000001,O'MORESFOREST,CSO ED-2022,2ae19629-16f3-13a3-e055-000000000001,107077,O'MORESFOREST,COILL UÍ MHÓRDHA,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,247,266,513,168,1,1,12,182,20360000,Sq Metres,20359801.1321411,20598.0466463716,2ae19629-16f3-13a3-e055-000000000001,30,93,42,45,26,10,20,266,23,100,61,10,23,4,26,247,53,193,103,55,49,14,46,513,29
2ae19629-16f4-13a3-e055-000000000001,2ae19629-16f4-13a3-e055-000000000001,PORTARLINGTON SOUTH,CSO ED-2022,2ae19629-16f4-13a3-e055-000000000001,107078,PORTARLINGTON SOUTH,CÚIL AN TSÚDAIRE THEAS,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,3933,3926,7859,2801,40,5,221,3067,11547000,Sq Metres,11547268.5943298,20315.350314729,2ae19629-16f4-13a3-e055-000000000001,232,975,589,776,522,114,718,3926,203,1076,840,403,531,96,784,3933,435,2051,1429,1179,1053,210,1502,7859,30
